zipcode,major_city,radius_in_miles,population,population_density,housing_units,occupied_housing_units,median_home_value,median_household_income
92592,Temecula,10.0,72492,746.0,24146,22466,322300.0,88355.0
23464,Virginia Beach,4.0,72359,4315.0,27058,25956,257100.0,71192.0
96797,Waipahu,4.0,72289,2101.0,19986,19189,486600.0,81897.0
77429,Cypress,5.0,72264,1883.0,25165,24208,187000.0,96695.0
33012,Hialeah,1.0,72248,12323.0,24734,23699,158400.0,32273.0
60620,Chicago,2.0,72216,10191.0,29936,26058,138800.0,31753.0
60628,Chicago,3.0,72202,6612.0,28651,24491,132100.0,37472.0
95630,Folsom,5.0,72180,2617.0,26093,24935,385500.0,98547.0
93535,Lancaster,18.0,72046,279.0,22946,20672,118000.0,44399.0
77036,Houston,2.0,71969,10113.0,30117,24878,113900.0,28266.0
77450,Katy,3.0,71889,3533.0,25207,24417,191900.0,100957.0
93727,Fresno,4.0,71820,2209.0,23644,21680,185300.0,45760.0
60085,Waukegan,4.0,71714,4791.0,24362,22054,125500.0,41006.0
60641,Chicago,2.0,71663,17730.0,27072,24770,265000.0,46816.0
91766,Pomona,3.0,71599,7043.0,18629,17708,255600.0,49725.0
77573,League City,7.0,71580,2373.0,26951,25444,182300.0,92559.0
28269,Charlotte,6.0,71048,2335.0,28886,27076,164100.0,60070.0
89110,Las Vegas,4.0,70994,6388.0,22502,20374,108200.0,44737.0
93536,Lancaster,20.0,70918,292.0,22620,20964,216000.0,70577.0
78577,Pharr,8.0,70840,2231.0,22936,19814,71100.0,32054.0
77083,Houston,3.0,70837,6868.0,21719,20313,117900.0,53879.0
63376,Saint Peters,5.0,70828,1705.0,27628,26605,170800.0,74161.0
77379,Spring,4.0,70544,2807.0,25531,24124,190200.0,97692.0
10457,Bronx,1.0,70496,66425.0,24364,22873,397500.0,24949.0
92805,Anaheim,3.0,70401,11167.0,18804,17599,349300.0,53532.0
77584,Pearland,6.0,70228,2188.0,25184,23722,189600.0,94103.0
89108,Las Vegas,3.0,70123,7804.0,28171,24466,110700.0,41659.0
91402,Panorama City,2.0,69817,18733.0,19179,18194,279100.0,40186.0
07055,Passaic,2.0,69816,22229.0,20449,19428,328400.0,32104.0
92105,San Diego,2.0,69813,12534.0,21744,20540,266700.0,37534.0
85225,Chandler,3.0,69810,5462.0,27397,25025,163300.0,56414.0
21234,Parkville,3.0,69752,5369.0,31527,29982,213500.0,58332.0
90262,Lynwood,2.0,69745,14431.0,15266,14669,273300.0,40831.0
93274,Tulare,12.0,69721,326.0,22004,20648,160000.0,44775.0
45011,Hamilton,10.0,69677,1149.0,26058,23732,178400.0,60757.0
80013,Aurora,3.0,69588,4975.0,26047,24791,192800.0,67857.0
