zipcode,population,radius_in_miles,population_density,percent_occupied_units,median_home_value,median_household_income,kmeans_labels
74112,20684,3.0,3051.0,0.9062773722627737,96400.0,40284.0,0
76135,20684,5.0,797.0,0.9175185054635178,115400.0,52945.0,0
2445,20679,2.0,7945.0,0.9543124582126142,705600.0,102087.0,1
23502,20678,3.0,2046.0,0.9356635071090047,199200.0,47378.0,0
80550,20675,7.0,380.0,0.9360428874205211,244500.0,81563.0,1
37912,20673,3.0,1907.0,0.9134778510838831,114900.0,34080.0,0
48442,20669,10.0,242.0,0.9016091954022989,140500.0,66197.0,0
24141,20668,11.0,324.0,0.8984649342831343,156000.0,39808.0,0
24551,20667,10.0,303.0,0.945314382076608,235600.0,73776.0,1
49202,20661,5.0,1482.0,0.8780179127725857,68900.0,31164.0,0
63137,20654,2.0,2775.0,0.8953369057120055,75600.0,34019.0,0
74135,20651,2.0,3424.0,0.8986707938820102,156900.0,44859.0,0
67211,20644,2.0,4019.0,0.8731358529111338,69300.0,30979.0,0
48081,20635,2.0,5251.0,0.9439923914192117,105000.0,57256.0,0
10990,20631,7.0,339.0,0.9434588385449905,340900.0,84110.0,1
33993,20628,7.0,337.0,0.7387584767866457,135900.0,49706.0,0
2116,20628,0.9659090909090908,32724.0,0.872034166403037,807600.0,87653.0,1
86301,20626,7.0,667.0,0.8576456423080485,195800.0,44764.0,0
54904,20623,14.0,276.0,0.9405137449301487,180100.0,67145.0,0
21037,20618,7.0,1194.0,0.9282755355663392,379500.0,100242.0,1
73003,20617,2.0,2731.0,0.955001771583796,148900.0,61730.0,0
73064,20611,6.0,408.0,0.9610308764940239,140900.0,66659.0,0
33870,20601,10.0,372.0,0.7778067658057223,75800.0,29213.0,0
94609,20596,2.0,12057.0,0.9096443757247777,457000.0,52400.0,1
73109,20594,3.0,3794.0,0.8745648781658865,65500.0,27086.0,0
29201,20594,4.0,1803.0,0.8371361930838658,159300.0,29557.0,0
63141,20593,4.0,1457.0,0.9205752212389381,373700.0,102708.0,1
79703,20592,2.0,3076.0,0.9577630035197497,110600.0,57842.0,0
93023,20589,19.0,76.0,0.9102902374670184,514900.0,62133.0,1
18505,20586,4.0,2419.0,0.8968511350559683,113200.0,38796.0,0
75094,20579,2.0,2951.0,0.97632639355272,263300.0,116344.0,1
35749,20575,7.0,508.0,0.954248366013072,177900.0,83463.0,1
94579,20571,2.0,6567.0,0.9578287505342642,364300.0,72369.0,1
43054,20566,4.0,1025.0,0.9162031009586933,302500.0,103491.0,1
21214,20564,2.0,7202.0,0.9089188286382363,183100.0,61014.0,0
80113,20562,2.0,2719.0,0.9311316172899465,275700.0,53185.0,1
12144,20555,4.0,1086.0,0.9443740764196749,168800.0,63449.0,0
7071,20554,3.0,4509.0,0.9487879822465005,377100.0,71910.0,1
95620,20553,14.0,85.0,0.9350170261066969,287700.0,71261.0,1
31701,20552,5.0,760.0,0.8761090673014499,78100.0,20872.0,0
35613,20546,9.0,267.0,0.9340394154712428,174400.0,70542.0,0
73115,20541,2.0,3467.0,0.905658324265506,76500.0,40648.0,0
61102,20538,8.0,597.0,0.8818571046293818,80400.0,32441.0,0
48458,20538,9.0,585.0,0.8490506989359483,59100.0,33737.0,0
19040,20536,2.0,3467.0,0.9488948660975325,274800.0,69807.0,1
19008,20535,2.0,3132.0,0.9734961673379239,338000.0,72580.0,1
73135,20529,3.0,1771.0,0.9167467563671312,123900.0,48964.0,0
68510,20514,3.0,3524.0,0.9257840072602601,135300.0,40501.0,0
8721,20512,7.0,1326.0,0.8796912114014251,271300.0,78847.0,1
28804,20507,5.0,772.0,0.8805752396832013,284600.0,50058.0,1
62220,20504,5.0,701.0,0.8802055454448132,112400.0,51992.0,0
31324,20495,11.0,161.0,0.9176696542893726,226800.0,80288.0,1
64130,20492,2.0,2847.0,0.7748295559240833,53400.0,28493.0,0
6002,20486,5.0,786.0,0.9484421776250138,214800.0,73104.0,1
90069,20483,1.0,9688.0,0.9041336851363236,696700.0,75451.0,1
20657,20483,6.0,681.0,0.8959433354797167,266700.0,90399.0,1
66109,20480,6.0,445.0,0.942997542997543,150600.0,70914.0,0
29455,20478,14.0,191.0,0.6417921859469379,261500.0,60954.0,2
70127,20471,2.0,2885.0,0.7517295908282269,153300.0,27096.0,0
44131,20469,4.0,1273.0,0.9647683955180778,177500.0,66845.0,0
